class,Max_Ecio,Min_Ecio,Std_Ecio,Max_Rscp,Std_Rscp
no,-17.000000,-25.000000, 2.312123,-82.000000, 2.559972
yes,-18.000000,-25.000000, 1.970172,-83.000000, 2.204461
yes,-21.000000,-25.000000, 1.069647,-86.000000, 1.693921
no,-21.000000,-25.000000, 1.325652,-86.000000, 1.495090
no,-25.000000,-25.000000, 0.000000,-74.000000, 2.190616
no,-22.000000,-25.000000, 0.801784,-87.000000, 1.283881
no,-22.000000,-25.000000, 0.853325,-87.000000, 1.456744
no,-22.000000,-25.000000, 0.803205,-85.000000, 1.971863
no,-22.000000,-25.000000, 0.775502,-83.000000, 2.328263
no,-19.000000,-25.000000, 1.100449,-83.000000, 2.137446
no,-19.000000,-25.000000, 1.095909,-83.000000, 2.043788
no,-19.000000,-25.000000, 1.243470,-85.000000, 1.474147
no,-25.000000,-25.000000, 0.000000,-86.000000, 1.316987
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.764438
no,-25.000000,-25.000000, 0.000000,-81.000000, 2.367088
no,-23.000000,-25.000000, 0.362041,-81.000000, 2.362848
no,-23.000000,-25.000000, 0.408710,-81.000000, 2.186187
no,-23.000000,-25.000000, 0.480865,-84.000000, 1.937073
yes,-24.000000,-25.000000, 0.276725,-81.000000, 2.530000
yes,-22.000000,-25.000000, 0.671296,-81.000000, 2.412222
yes,-22.000000,-25.000000, 0.712396,-81.000000, 2.487506
yes,-22.000000,-25.000000, 0.696932,-81.000000, 2.113261
yes,-22.000000,-25.000000, 0.617667,-81.000000, 2.434693
yes,-22.000000,-25.000000, 0.617667,-81.000000, 2.434693
yes,-22.000000,-25.000000, 0.640994,-84.000000, 1.792488
yes,-22.000000,-25.000000, 0.546553,-82.000000, 1.755301
yes,-22.000000,-25.000000, 0.701955,-82.000000, 1.799039
yes,-22.000000,-25.000000, 0.882344,-82.000000, 2.023799
no,-21.000000,-25.000000, 1.146489,-83.000000, 2.069087
no,-21.000000,-25.000000, 1.234349,-84.000000, 2.037105
no,-21.000000,-25.000000, 1.432701,-84.000000, 1.832137
no,-25.000000,-25.000000, 0.000000,-74.000000, 2.190616
no,-22.000000,-25.000000, 0.707107,-80.000000, 2.587047
no,-22.000000,-25.000000, 0.528693,-80.000000, 1.961217
no,-22.000000,-25.000000, 0.466591,-80.000000, 2.114639
no,-24.000000,-25.000000, 0.284029,-80.000000, 1.859791
no,-22.000000,-25.000000, 0.902134,-80.000000, 2.311177
yes,-22.000000,-25.000000, 0.961629,-81.000000, 1.889416
yes,-19.000000,-25.000000, 1.286430,-81.000000, 1.990172
yes,-19.000000,-25.000000, 1.071458,-79.000000, 2.200668
yes,-19.000000,-25.000000, 1.193718,-79.000000, 2.282466
yes,-21.000000,-25.000000, 0.780779,-79.000000, 1.914687
yes,-20.000000,-25.000000, 1.260596,-81.000000, 1.736486
yes,-20.000000,-25.000000, 1.044788,-81.000000, 1.556818
yes,-20.000000,-25.000000, 0.951929,-80.000000, 1.861346
yes,-23.000000,-25.000000, 0.447709,-79.000000, 2.263143
yes,-23.000000,-25.000000, 0.564637,-79.000000, 2.221215
yes,-23.000000,-25.000000, 0.400483,-79.000000, 2.007354
yes,-23.000000,-25.000000, 0.375212,-80.000000, 1.860131
yes,-23.000000,-25.000000, 0.374981,-81.000000, 2.176742
yes,-23.000000,-25.000000, 0.350762,-79.000000, 2.423673
yes,-23.000000,-25.000000, 0.334087,-79.000000, 2.486995
yes,-24.000000,-25.000000, 0.140028,-79.000000, 2.100047
yes,-25.000000,-25.000000, 0.000000,-80.000000, 2.099698
yes,-25.000000,-25.000000, 0.000000,-79.000000, 2.032765
no,-23.000000,-25.000000, 0.326747,-78.000000, 1.963065
no,-21.000000,-25.000000, 0.957910,-78.000000, 2.080215
no,-21.000000,-25.000000, 0.980821,-78.000000, 2.254679
no,-21.000000,-25.000000, 1.001813,-78.000000, 2.145979
no,-23.000000,-25.000000, 0.272166,-78.000000, 1.747615
no,-25.000000,-25.000000, 0.000000,-78.000000, 1.798443
no,-25.000000,-25.000000, 0.000000,-76.000000, 1.950588
no,-25.000000,-25.000000, 0.000000,-76.000000, 2.192645
no,-25.000000,-25.000000, 0.000000,-76.000000, 2.204973
no,-25.000000,-25.000000, 0.000000,-75.000000, 2.839349
no,-25.000000,-25.000000, 0.000000,-75.000000, 2.646236
no,-25.000000,-25.000000, 0.000000,-75.000000, 2.396502
yes,-23.000000,-25.000000, 0.311729,-77.000000, 2.230946
no,-23.000000,-25.000000, 0.311729,-77.000000, 2.200347
yes,-23.000000,-25.000000, 0.311729,-77.000000, 2.395617
no,-25.000000,-25.000000, 0.000000,-84.000000, 1.543487
yes,-25.000000,-25.000000, 0.000000,-80.000000, 2.240763
yes,-25.000000,-25.000000, 0.000000,-80.000000, 2.081666
yes,-25.000000,-25.000000, 0.000000,-76.000000, 3.142215
yes,-25.000000,-25.000000, 0.000000,-76.000000, 2.670954
yes,-25.000000,-25.000000, 0.000000,-76.000000, 2.602639
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.156320
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.345509
